indicator,indicator_type,threat_type,severity,source,first_seen,label
de69e6ddd631c0b55be278b33725eb88a22000b5,sha1,botnet,critical,internal_soc_export,2026-07-04T07:00:00,malicious
cdn1.example.com,domain,unknown,high,internal_soc_export,2026-08-05T02:00:00,suspicious
http://secure2.example.org/login,url,malware_delivery,medium,opensource_feed_a,2026-06-29T17:00:00,malicious
6978abcddb4b54161a500a17511682326efd16f2,sha1,scanning,low,opensource_feed_a,2026-06-24T09:00:00,benign
198.51.100.229,ipv4,malware_delivery,medium,internal_soc_export,2026-07-01T08:00:00,suspicious
http://account5.example.org/download,url,unknown,high,opensource_feed_a,2026-08-09T01:00:00,suspicious
e8f198d1fd01609c804225141a76f209c5f8a1cf,sha1,unknown,high,internal_soc_export,2026-06-15T04:00:00,suspicious
89b84188ef8783163220e7087f376ab3472a29b92425e02a718613a2f6471c34,sha256,phishing,medium,opensource_feed_b,2026-07-27T19:00:00,suspicious
feb08e54ace1a4cc7687efc8219fccec5a966ce0f7cdaef85465410339cc123f,sha256,unknown,high,opensource_feed_a,2026-06-09T22:00:00,benign
4d9c1265963b237210abdfe14c5aca199ca1a154,sha1,scanning,low,opensource_feed_b,2026-07-31T22:00:00,benign
198.51.100.22,ipv4,brute_force,low,opensource_feed_a,2026-07-16T14:00:00,benign
0fa6f333125a919392c7669f0a5a752d,md5,botnet,medium,internal_soc_export,2026-06-18T11:00:00,suspicious
9e8f3a93be892b8f75c1ac56ce50e3ef,md5,brute_force,medium,opensource_feed_b,2026-07-12T12:00:00,suspicious
192.0.2.206,ipv4,botnet,low,opensource_feed_a,2026-07-14T02:00:00,benign
5cba520e25b45077d6b5762fde8faf0627f9befa3a00bc1f81aa097f3162ed68,sha256,phishing,low,internal_soc_export,2026-06-19T23:00:00,benign
203.0.113.178,ipv4,malware_delivery,low,opensource_feed_a,2026-06-16T13:00:00,suspicious
198.51.100.34,ipv4,scanning,high,opensource_feed_b,2026-08-09T00:00:00,suspicious
