indicator,threat_type,severity,first_seen,source,description
update18.example.com,scanning,critical,2026-08-05T03:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
198.51.100.128,malware_delivery,high,2026-08-02T18:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
198.51.100.201,botnet,medium,2026-08-03T06:00:00,internal_soc_export,Synthetic sample record for pipeline demonstration
198.51.100.86,botnet,high,2026-08-02T21:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
http://secure1.example.org/login,phishing,medium,2026-08-01T16:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
api19.example.com,scanning,high,2026-08-05T08:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
198.51.100.136,brute_force,medium,2026-08-05T12:00:00,internal_soc_export,Synthetic sample record for pipeline demonstration
198.51.100.250,phishing,high,2026-08-04T18:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
cdn4.example.com,phishing,high,2026-08-02T05:00:00,internal_soc_export,Synthetic sample record for pipeline demonstration
login5.example.com,unknown,low,2026-08-02T10:00:00,internal_soc_export,Synthetic sample record for pipeline demonstration
192.0.2.180,phishing,critical,2026-08-02T03:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
9ec9c99476524975edca0222fc13647a61e4e2186cfb0c019f0dcba913fca0dc,unknown,low,2026-08-02T21:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
mail10.example.com,data_exfiltration,medium,2026-08-03T11:00:00,internal_soc_export,Synthetic sample record for pipeline demonstration
mail8.example.com,botnet,high,2026-08-03T01:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
203.0.113.101,malware_delivery,low,2026-08-04T09:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
http://secure12.example.org/login,phishing,high,2026-08-04T21:00:00,internal_soc_export,Synthetic sample record for pipeline demonstration
http://secure5.example.org/login,phishing,medium,2026-08-02T20:00:00,internal_soc_export,Synthetic sample record for pipeline demonstration
http://secure1.example.org/login,phishing,medium,2026-08-01T16:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
cdn9.example.com,command_and_control,low,2026-08-03T06:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
198.51.100.87,scanning,high,2026-08-05T21:00:00,internal_soc_export,Synthetic sample record for pipeline demonstration
f4787720ec8f83acc053717ba70e45fd,unknown,low,2026-08-02T19:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
203.0.113.250,brute_force,high,2026-08-05T15:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
cdn7.example.com,unknown,low,2026-08-02T20:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
5e8d286590344e37f18000d06bb071fe,unknown,high,2026-08-03T07:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
http://account8.example.org/login,phishing,medium,2026-08-03T17:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
85f923437aadc1597dc689060f9c91f3655edf05,botnet,critical,2026-08-01T11:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
94f04a77d7e764bf99097e8754600b1a7e2b0ac78ae963ae28a4f34cced1d2c2,malware_delivery,low,2026-08-01T21:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
203.0.113.136,botnet,high,2026-08-02T12:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
781a480580128aa9a279c7b5b03df996,botnet,high,2026-08-02T01:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
bf9569bf85411a2a2fcc3dcf60af5a79b8679b0ec239fd79832c7eb2a3ffe4e0,botnet,medium,2026-08-03T09:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
f8ed39f5312128f49ba1c59d4794c1e608009b56,botnet,high,2026-08-02T23:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
198.51.100.112,malware_delivery,low,2026-08-06T03:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
60dac7f85d56c08ee7a2b2d6be4cd7ba,unknown,high,2026-08-02T07:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
192.0.2.15,malware_delivery,critical,2026-08-02T09:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
198.51.100.154,data_exfiltration,medium,2026-08-05T00:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
198.51.100.139,scanning,critical,2026-08-04T03:00:00,internal_soc_export,Synthetic sample record for pipeline demonstration
37ddfcb24a01fe4bbc1b5b0160315c13,malware_delivery,medium,2026-08-01T13:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
203.0.113.167,data_exfiltration,low,2026-08-04T15:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
http://verify0.example.org/login,phishing,critical,2026-08-01T09:00:00,internal_soc_export,Synthetic sample record for pipeline demonstration
cdn14.example.com,phishing,low,2026-08-04T07:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
203.0.113.179,botnet,high,2026-08-04T06:00:00,internal_soc_export,Synthetic sample record for pipeline demonstration
192.0.2.132,malware_delivery,high,2026-08-01T12:00:00,internal_soc_export,Synthetic sample record for pipeline demonstration
192.0.2.77,phishing,medium,2026-08-06T06:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
198.51.100.116,malware_delivery,low,2026-08-04T12:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
198.51.100.104,botnet,low,2026-08-03T21:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
not a real indicator,unknown,low,2026-08-01T09:00:00,opensource_feed_b,unrecognised format
api11.example.com,data_exfiltration,high,2026-08-03T16:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
mail0.example.com,scanning,low,2026-08-01T09:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
203.0.113.74,unknown,low,2026-08-01T21:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
999.999.999.999,scanning,medium,2026-08-01T09:00:00,opensource_feed_a,invalid octets
http://verify11.example.org/login,phishing,critical,2026-08-04T14:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
http://account2.example.org/login,phishing,medium,2026-08-01T23:00:00,internal_soc_export,Synthetic sample record for pipeline demonstration
cdn3.example.com,,,,,missing fields
mail17.example.com,botnet,critical,2026-08-04T22:00:00,internal_soc_export,Synthetic sample record for pipeline demonstration
203.0.113.15,malware_delivery,critical,2026-08-06T00:00:00,internal_soc_export,Synthetic sample record for pipeline demonstration
192.0.2.179,malware_delivery,medium,2026-08-04T00:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
mail1.example.com,brute_force,medium,2026-08-01T14:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
192.0.2.55,botnet,urgent,not-a-timestamp,opensource_feed_b,bad severity and bad timestamp
7954c79e9614e0ad32cc12bde8b476c868586153383901047786718bdf1bff27,unknown,low,2026-08-02T15:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
api16.example.com,malware_delivery,high,2026-08-04T17:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
741b742fdd2ca174634c4c84b947ac91ed3e81df,botnet,medium,2026-08-02T05:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
192.0.2.237,phishing,critical,2026-08-05T06:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
192.0.2.153,brute_force,critical,2026-08-02T00:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
http://secure4.example.org/login,phishing,critical,2026-08-02T13:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
b6d4ff1cde01705db4748c02444c873e,malware_delivery,low,2026-08-01T19:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
http://account6.example.org/login,phishing,high,2026-08-03T03:00:00,internal_soc_export,Synthetic sample record for pipeline demonstration
203.0.113.178,scanning,medium,2026-08-05T09:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
6258fa5ee19c7439f7e4cfa5106174db9a28c462,malware_delivery,low,2026-08-01T23:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
login13.example.com,phishing,low,2026-08-04T02:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
3bf5aff255ec540855b56202e2e9e2cb84db5a2c4195eab28bf7cd7b9757f099,unknown,high,2026-08-02T03:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
198.51.100.112,malware_delivery,low,2026-08-06T03:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
192.0.2.179,malware_delivery,medium,2026-08-04T00:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
http://account13.example.org/login,phishing,medium,2026-08-05T04:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
192.0.2.243,botnet,low,2026-08-03T12:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
192.0.2.210,command_and_control,low,2026-08-05T03:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
http://secure7.example.org/login,phishing,high,2026-08-03T10:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
238a743c3a88ffed4b0e65679b8595d6b37f28a311d2728b9ec72558314065d8,unknown,critical,2026-08-02T09:00:00,internal_soc_export,Synthetic sample record for pipeline demonstration
198.51.100.211,malware_delivery,high,2026-08-05T18:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
f5fe985ea73874de1ff75e0866220c7c07fff7a0,malware_delivery,critical,2026-08-01T17:00:00,internal_soc_export,Synthetic sample record for pipeline demonstration
http://verify3.example.org/login,phishing,critical,2026-08-02T06:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
