event_time,src_ip,event_category,risk_label,sensor
2026-08-05 00:00:00,203.0.113.144,scanning,Low,fw-edge
2026-08-05 00:37:00,198.51.100.217,data_exfiltration,High,fw-edge
2026-08-05 01:14:00,203.0.113.214,brute_force,High,fw-edge
2026-08-05 01:51:00,198.51.100.153,data_exfiltration,Low,fw-edge
2026-08-05 02:28:00,198.51.100.145,scanning,Medium,fw-edge
2026-08-05 03:05:00,192.0.2.214,brute_force,Medium,fw-edge
2026-08-05 03:42:00,198.51.100.58,scanning,Medium,ids-01
2026-08-05 04:19:00,192.0.2.225,scanning,High,ids-01
2026-08-05 04:56:00,192.0.2.153,scanning,Medium,ids-01
2026-08-05 05:33:00,192.0.2.136,data_exfiltration,High,ids-01
2026-08-05 06:10:00,198.51.100.81,data_exfiltration,Medium,ids-01
2026-08-05 06:47:00,192.0.2.57,data_exfiltration,Medium,ids-01
2026-08-05 07:24:00,203.0.113.84,brute_force,Low,ids-01
2026-08-05 08:01:00,203.0.113.57,data_exfiltration,Medium,ids-01
2026-08-05 08:38:00,198.51.100.32,brute_force,Medium,ids-02
2026-08-05 09:15:00,192.0.2.218,scanning,High,ids-01
2026-08-05 09:52:00,198.51.100.78,brute_force,Low,ids-01
2026-08-05 10:29:00,198.51.100.73,scanning,Medium,ids-01
2026-08-05 11:06:00,198.51.100.33,brute_force,High,fw-edge
2026-08-05 11:43:00,198.51.100.116,scanning,Medium,ids-02
2026-08-05 12:20:00,198.51.100.175,scanning,Low,ids-01
2026-08-05 12:57:00,192.0.2.97,scanning,Medium,ids-01
2026-08-05 13:34:00,192.0.2.18,brute_force,Low,ids-01
2026-08-05 14:11:00,192.0.2.128,brute_force,Medium,fw-edge
2026-08-05 14:48:00,198.51.100.34,data_exfiltration,High,ids-02
2026-08-05 15:25:00,192.0.2.106,scanning,Medium,ids-01
2026-08-05 16:02:00,203.0.113.218,scanning,High,ids-02
2026-08-05 16:39:00,198.51.100.73,scanning,High,ids-01
2026-08-05 17:16:00,198.51.100.80,brute_force,Medium,ids-02
2026-08-05 17:53:00,198.51.100.235,scanning,Low,ids-02
